ds,sales,covid_flag,flu_index
2018-09-17T00:00:00.000+0000,75982.1187,0,7
2018-09-24T00:00:00.000+0000,88005.37465,0,11
2018-10-01T00:00:00.000+0000,101737.73724,0,14
2018-10-08T00:00:00.000+0000,98258.54988,0,7
2018-10-15T00:00:00.000+0000,94549.62839,0,13
2018-10-22T00:00:00.000+0000,94265.01603999999,0,20
2018-10-29T00:00:00.000+0000,88631.19407,0,11
2018-11-05T00:00:00.000+0000,88209.59628,0,24
2018-11-12T00:00:00.000+0000,83073.08239999998,0,24
2018-11-19T00:00:00.000+0000,96554.7197,0,29
2018-11-26T00:00:00.000+0000,105862.4122,0,24
2018-12-03T00:00:00.000+0000,111351.43758000001,0,18
2018-12-10T00:00:00.000+0000,120084.84775000002,0,37
2018-12-17T00:00:00.000+0000,125506.79199999999,0,42
2018-12-24T00:00:00.000+0000,134481.16964,0,66
2018-12-31T00:00:00.000+0000,130534.04633,0,84
2019-01-07T00:00:00.000+0000,114423.35834,0,104
2019-01-14T00:00:00.000+0000,103153.87717,0,182
2019-01-21T00:00:00.000+0000,117258.53644,0,348
2019-01-28T00:00:00.000+0000,133535.94204,0,620
2019-02-04T00:00:00.000+0000,142158.70369999998,0,735
2019-02-11T00:00:00.000+0000,130320.29629,0,644
2019-02-18T00:00:00.000+0000,105401.89421,0,310
2019-02-25T00:00:00.000+0000,85374.73976999999,0,136
2019-03-04T00:00:00.000+0000,76304.09303,0,82
2019-03-11T00:00:00.000+0000,71209.75804999999,0,54
2019-03-18T00:00:00.000+0000,68680.56529,0,40
2019-03-25T00:00:00.000+0000,72622.96191,0,27
2019-04-01T00:00:00.000+0000,75986.10675,0,11
2019-04-08T00:00:00.000+0000,75692.19477999999,0,19
2019-04-15T00:00:00.000+0000,67508.23594,0,10
2019-04-22T00:00:00.000+0000,52588.35027,0,7
2019-04-29T00:00:00.000+0000,51428.90655,0,1
2019-05-06T00:00:00.000+0000,52019.46438,0,5
2019-05-13T00:00:00.000+0000,58180.07466,0,4
